question,answer
How many Super Bowls has Tom Brady won in his whole carrer?,7
Which team did Tom Brady started playing in when he just made it to the NFL?,new england patriots
As of 2026 who is the new HC for the New York Giants?,john harbough
How many teams are ther in the NFL?,32
In what round was Tom Brady drafted?,6
What is the name of the #1 TE in the NFL history?,rob gronkowsky
How many Super Bowls have the Buffalo Bills gone to?,4
When was the last year the Buffalo Bills went to a Super Bowl?,1984
Who is the greatest QB that played for the Buffalo Bills?,jim kelly
How many Super Bowls have the Buffalo Bills won?,0
Which is the only team to reach a perfect season in NFL history?,miami dolphins
What is the name of the player that played for the San Francisco 49ers with the retired number 16?,joe montana
Which RB is known for murdering his wife along with her lover?,simpson
What is the name of the player that performed the so called "Inmaculate reception"?,franco harris
To what division belong the following teams: Kansas City Chiefs | Denver Broncos | Los Angeles Chargers | Las Vegas Raiders,afc west
